[05:05] 很多人一听到图，就会想到流程图
[05:07] 那种画在PPT里给人看的方框加箭头
[05:10] 但是我们这里说的图不是那个
[05:12] 流程图是给人看的
[05:14] 描述我们希望事情怎么走
[05:15] 而今天我们说的图，是给机器跑的
[05:18] 任务、依赖、状态、权限、预算、失败恢复、人工审批
[05:22] 全都要能被系统真正执行
[05:25] 剥掉术语，一张能跑的图
[05:27] 形式上可以写成四个部分
[05:29] V是节点，就是干活的单元
[05:31] 一进一出、只干一件事
[05:33] 它可以是一个专门化的智能体
[05:35] 也可以是一个确定性步骤
[05:37] E是边，就是节点之间的路由
[05:39] 回答接下来去哪
[05:41] 可以是直通、条件分支、扇出、扇入
[05:43] 也可以是回环
[05:45] S是状态
[05:46] 就是沿着边流动、大家共读共写的那个对象
[05:49] 比如记录任务、证据、预算、产物、检查点
[05:53] 它把一堆各干各的智能体
[05:55] 捏合成一个系统
[05:56] P是策略
[05:57] 就是约束谁能创建节点、调用工具、修改图等等
[06:02] 你可以把它理解成一家会自己运转的小公司
[06:04] 一家公司不会让同一个人在一整段时间里
[06:07] 又做研究、又写方案、又当评审
[06:10] 而是把这些活分给不同角色
[06:13] 让工作在角色之间流转
[06:15] 结果再层层上报
[06:16] 图就是同一个想法
[06:18] 智能体从一个while循环
[06:20] 毕业成了一张组织架构图
[06:22] 这里要澄清两个常见的混淆
[06:25] 第一，它不是知识图谱
[06:27] 知识图谱组织的是系统知道什么
[06:29] 这里的图组织的是系统由谁组成、工作如何流动
[06:33] 第二
[06:34] 它也不等于把现有流程画成流程图
[06:37] 只有当节点能独立执行
[06:38] 并且边携带了明确的状态
[06:41] 以及过程能够被检查、暂停、恢复追踪的时候
[06:44] 这张图才算是一个系统结构
