[11:08] 前面讲了不少概念
[11:10] 节点、边、扇出扇入、验证器等等
[11:13] 现在我们用一个具体任务
[11:15] 把它们全串起来
[11:16] 同时和Loop做一次正面对比
[11:19] 这个例子来自Anthropic和社区反复用到的经典场景
[11:23] 因为它足够小、又足够典型
[11:25] 任务是做一份每日研究简报
[11:27] 每天早上
[11:28] 读几个信源上关于某个主题的最新内容
[11:31] 写成一页纸的摘要
[11:32] 并且在发到你邮箱之前
[11:34] 先核对一遍准确性
[11:36] 听起来很简单
[11:37] 我们分别用两种方式来做
[11:39] 最直觉的做法
[11:40] 是让一个智能体在一个循环里把所有事都干了
[11:43] 让它把从原始信源搜索的结果一股脑塞进上下文、起草简报、然后审查自己的草稿
[11:50] 问题就出在这个过程里
[11:52] 等它开始审查的时候
[11:53] 它的上下文已经是一锅粥了
[11:55] 原始的搜索网页、写了一半的句子、还有它自己之前的推理
[11:59] 全都糊在一起
[12:00] 它是在写出这份草稿的同一个上下文里审查它
[12:03] 等于让作者给自己判卷
[12:05] 几乎必然盖个通过章
[12:08] 而且因为循环天生是顺序的
[12:10] 它只能一个信源一个信源地读
[12:12] 所以速度也慢
[12:13] 同样的任务，用图来做
[12:15] 就是一张三节点的小图
[12:17] 状态在它们之间干净地流动
[12:19] 研究员节点扇出到多个信源并行搜集
[12:22] 只返回结构化的笔记
[12:24] 写作节点只拿到干净的笔记
[12:26] 看不到杂乱的原始网页
[12:28] 产出简报
[12:29] 审稿节点在一个全新的上下文里
[12:31] 只看简报和验收标准
[12:33] 不合格就打回给写作节点
[12:35] 从这张小图上我们可以看出
[12:37] 上下文是分开且干净的
[12:40] 写作节点从不被搜索垃圾淹没
[12:42] 流程是真正的审查而不是自己给自己盖章
[12:45] 采用并行搜集速度也会快很多
[12:48] 还有一条
[12:48] 它能被当作一个可以读懂的清晰路径
[12:51] 而不用从一长段对话记录里反推
[12:55] 但是诚实地说，这张图也是有代价的
[12:57] 比如你要维护三个提示词而不是一个
[13:00] 要设计节点之间的状态结构
[13:02] 还要应对一批新的失败模式
[13:04] 不过最关键的是
[13:05] 对于一份每天都要跑的简报来说
[13:08] 这些额外开销换来的
[13:10] 是实打实的质量提升，值
[13:12] 但是对于一个只跑一次的任务
[13:14] 它就是纯粹的一笔税
[13:16] 这笔账
[13:16] 就是要不要从循环升级到图的全部决策
