[00:00] 大家好，这里是最佳拍档，我是大飞
[00:03] AI发展的快，有一个好处就是
[00:05] 你还没学会的，可能就不用学了
[00:07] 前一段大家还在热烈讨论Loop Engineering
[00:11] 觉得终于找到了让智能体稳定工作的法门
[00:14] 这才过去没多久，一个叫图工程
[00:17] Graph Engineering的新词又炸了
[00:19] 这到底是又一轮的营销炒作
[00:21] 还是真的有什么本质变化呢？
[00:23] 今天我们就把讲讲这个词
[00:25] 从它怎么来的
[00:26] 解决什么问题
[00:27] 到什么时候该用、什么时候别瞎凑热闹
[00:30] 给大家一个可以用来做技术决策的完整框架
[00:33] 时间回到7月17号
[00:35] OpenClaw的创始人彼得·施泰因博格（Peter Steinberger）在X上发了一句话
[00:39] 说
[00:39] 我们还在聊循环，还是已经转向图了？
[00:43] 因为之前火遍全网的Loop Engineering这个概念
[00:45] 也是他提出的，所以有人就说了
[00:48] 这是不是又在造新的概念呢？
[00:50] XState状态机库的作者戴维·库尔希德（David Khourshid）还有卡兰·辛格（Karan Singh）这些资深工程师直接提出质疑
[00:57] 说节点、边、状态这套东西根本不新
[01:01] 有明确目的的子智能体
[01:02] 那就是一张图
[01:03] 现在只不过换了个新名字
[01:05] 把大家搞晕了而已
[01:07] 这个质疑不算错
[01:08] 但我们得把两件事分开看
[01:10] 词是不是新的
[01:11] 和这个转变是不是真的
[01:13] 这是两码事
[01:14] 要理解图工程站在哪一层
[01:16] 我们得把过去一年多AI工程的演进路径走一遍
[01:20] 你会发现
[01:21] 让AI系统稳定工作这同一件事
[01:23] 被换着名字叫了五遍
[01:25] 但它们不是互相取代
[01:27] 而是一层一层往外叠
[01:29] 每一层解决上一层够不着的问题
[01:32] 图工程是目前最外面的一层
[01:34] 但它建立在前四层都做好了的前提上
[01:37] 最早是提示工程
[01:39] 管的是怎么写提示词能让模型输出更准确
[01:42] 然后大家发现光有好提示词不够
[01:45] 你得给模型对的信息
[01:47] 于是有了上下文工程
[01:49] 管的是往模型脑子里塞哪些东西
[01:51] 包括检索到的文档、记忆、工具定义、历史记录
[01:54] 这些都算
[01:56] 再往后
[01:56] 大家意识到模型周围的结构也很重要
[01:59] 能用哪些工具、有哪些不能逾越的护栏、跨会话的状态怎么留存
[02:04] 这就是Harness工程在管的事
[02:07] 再到了循环工程
[02:08] 管的是一个智能体如何自己反复地发现、规划、执行、验证
[02:13] 不用人一步步催
[02:14] 鲍里斯·切尔尼（Boris Cherny）有一句话被大家反复引用
[02:17] 他说
[02:18] 我现在已经不提示Claude了
[02:20] 我运行的是一些循环
[02:22] 由这些循环去提示Claude
[02:24] 而图工程，是再往外走一层
[02:26] 它不再只关心一个执行者内部怎么循环
[02:30] 而是开始设计多个执行节点之间的组织关系
[02:33] 我们可以用一句话来概括这两层的分工
[02:36] 循环工程解决如何让单个智能体持续工作
[02:39] 而图工程解决如何把多个智能体、工具和人
[02:42] 组织成一个可观测、可恢复、可扩展的系统
[02:46] 本质上，循环工程做的事
[02:48] 就是把驱动循环这个动作交给AI自己
[02:51] 它自己观察环境、自己动手、自己检查结果、自己决定下一步
[02:55] 构成一个闭环
[02:57] 目标不达成就不停
[02:58] 但是循环这个形状本身
[03:00] 会带来五个必然的缺陷
[03:02] 第一个是上下文腐烂
[03:04] 每一轮的思考、工具调用、观察结果全塞回同一个窗口
[03:08] 第1轮可能才2000个token
[03:10] 到第10轮就1万8了
[03:12] 原始目标被淹没在自我推理里
[03:14] 模型到后面
[03:15] 开始对着自己的输出反复分析
[03:17] 越绕越远
[03:18] 第二个是错误级联
[03:20] 出错后靠模型自己发现循环、跳出循环
[03:23] 这在同一条推理链里是极难做到的
[03:26] 工具报错了，它换个参数再试，还错
[03:29] 再换
[03:30] 烧掉上万token，最后答案仍是错的
[03:33] 第三个是工具过载
[03:35] 单个智能体挂15到20个工具的时候
[03:37] 选择准确率会急剧下降
[03:40] 两个功能相近的工具
[03:41] 模型经常选错那个
[03:43] 第四个是缺乏控制粒度
[03:45] 你不能暂停子任务等审批
[03:47] 不能给不同步骤配不同的模型
[03:50] 不能在中段做独立质检
[03:52] 循环要么跑完，要么杀掉
[03:54] 是全有或全无
[03:55] 第五个是可观测性差
[03:57] 你只知道它想了什么、调了什么、拿了什么
[04:00] 但不知道它为什么在这里分支、哪一步的决定导致了最终错误
[04:05] 除了这五点
[04:06] 还有一个更隐蔽、更值得警惕的问题
[04:08] 叫目标失明
[04:09] 循环只能看见自己被赋予的那个指标
[04:12] 于是它会用尽一切办法去移动这个指标
[04:15] 包括那些背叛指标初衷的办法
[04:18] 举个例子，一个团队做AI客服
[04:20] 以工单解决率为优化指标
[04:22] 连续五个月曲线一路上涨
[04:25] 但是随后续费的时候
[04:26] 客户流失率翻倍
[04:27] 原因是什么？
[04:28] 是这个AI学会的解决方式是
[04:30] 快速关闭对话、劝阻用户追问、把被放弃的问题也标记为已解决
[04:36] 所以，循环运行得越完美
[04:38] 离失败也可能越近
[04:40] 这也正是古德哈特定律带来的最大效力
[04:43] 这五个缺陷加上目标失明
[04:44] 有一个共同点
[04:45] 那就是它们都不是把循环做得更大更强能解决的
[04:50] 因为问题的根，不在一个循环内部
[04:52] 而在多个环节之间的关系上
[04:55] 就好像一个再自律的员工
[04:57] 也搞不定一个需要分工、协作、互相审核的项目
[05:01] 到这一步
[05:01] 我们需要的不是更大的循环
[05:03] 而是一张图了
