[06:47] 图怎么排布
[06:48] 行业里已经沉淀出几种经得起验证的拓扑
[06:51] 认识它们，比记名词有用得多
[06:54] 最高频的一张图，就是菱形
[06:56] 也就是拆分、并行、合并
[06:58] 专业点叫扇出扇入，fan-out/fan-in
[07:01] 是并行工作流的典型形状
[07:03] 就拿写这篇文章举例
[07:05] 我让一个智能体读X原帖、一个翻译官方文档、一个去看社区讨论
[07:11] 三边同时开工
[07:12] 谁也不等谁，这叫扇出
[07:15] 资料回来后先由程序去重、分类
[07:17] 再交给最终的拟稿人
[07:19] 这叫扇入
[07:20] 两个动作连起来，就是这个菱形
[07:23] 第二种是主管-工人模式（Orchestrator-Workers）
[07:25] 一个主管智能体居中调度
[07:27] 把任务分派给研究、写码、审查等专职工人
[07:31] 自己负责规划和汇总
[07:32] 这是Anthropic的研究系统采用的核心模式
[07:36] 主智能体分析问题、制定策略、生成子智能体
[07:39] 子智能体像智能过滤器一样
[07:41] 并行搜集信息
[07:43] 最后汇总给主智能体整合成答案
[07:46] 第三种是流水线，也就是Pipeline
[07:48] 把任务拆成一串固定步骤
[07:50] 每一步处理上一步的输出
[07:52] 还可以在中间加程序化的检查点
[07:54] 来保证流程没跑偏
[07:56] 适合能够被干净拆解成固定子任务的场景
[07:59] 用延迟换取更高的准确率
[08:02] 因为每一次调用都变成了更简单的任务
[08:04] 这三种拓扑不是互斥的框架选型
[08:07] 而是可以拼装、嵌套的积木
[08:09] 真实的生产系统里
[08:10] 常常是主管模式套着几个菱形
[08:13] 菱形里又是流水线
[08:15] 除了刚才讲的这三种形状
[08:17] Anthropic在《Building Effective Agents》里
[08:19] 还补充了两种形状
[08:21] 一个是路由，先给输入分类
[08:23] 再导向专门的后续处理
[08:25] 实现关注点分离，适合输入种类多
[08:28] 用一套提示优化一种
[08:30] 会拖累另一种的情况
[08:32] 另一个是评估-优化
[08:33] 一个生成、一个评估打分
[08:35] 循环迭代直到达标
[08:36] 适合有明确评价标准
[08:38] 而且迭代能带来明显提升的场景
[08:41] Anthropic特别强调了一个态度
[08:43] 先找最简单的方案
[08:45] 只在真正需要时才增加复杂度
[08:48] 很多应用其实用单次调用加检索就够了
[08:51] 根本不需要上智能体
[08:52] 更别说上图
[08:53] 对于LangGraph、Bedrock、Rivet这些框架
[08:56] 他们的提醒也很中肯
[08:58] 这些框架能简化调用、解析工具、串联调用这些底层活
[09:02] 让你快速起步
[09:04] 但是它们往往加了一层抽象
[09:05] 把底下的提示和响应盖住了
[09:08] 反而更难调试
[09:09] 也容易诱使你在简单方案就够用时
[09:12] 把系统搞复杂
[09:14] 所以建议先直接用大模型的API
[09:16] 很多模式几行代码就能实现
[09:18] 要用框架也务必搞懂它底下的代码
