[09:21] 简单来说，图真正的杠杆
[09:23] 不在于塞了多少个智能体
[09:25] 而在于你能围绕结果搭起多少确定性
[09:29] 很多人一听图，就想堆多智能体
[09:31] 觉得节点越多越高级
[09:33] 这是最大的误会
[09:34] 要理解为什么
[09:35] 得先看清大多数智能体系统翻车的根源
[09:38] 在于模型既当运动员，又当裁判
[09:41] 而图的解法
[09:42] 是把做判断和做验证拆成两个独立节点
[09:46] 出结论的是一个智能体
[09:47] 专门挑错的是另一个
[09:49] 叫做验证器（Verifier）
[09:50] 它的职责是专门试图推翻前一个结论
[09:53] 扛得住才放行
[09:54] 扛不住就打回重来
[09:56] 这个验证器蹲在边上
[09:57] 是整张图里性价比最高的一个节点
[10:00] 检查的力度要看事情轻重
[10:02] 这就需要一个路由（Router）
[10:03] 像医院的分诊台一样
[10:05] 按重要程度把任务导向不同的检查路径
[10:08] 常见的验证有三种打法
[10:11] 对抗式就是派多个怀疑者分头去驳同一个结论
[10:14] 多数没驳倒才算它站得住
[10:16] 多视角式就是换不同角度查
[10:19] 正确性、安全性、能否复现
[10:21] 各查各的
[10:22] 而评委制就是多个方案并行打分
[10:24] 选出优胜者
[10:25] 再吸收其他方案里的好东西
[10:28] 但是光靠智能体互相验证还不够
[10:30] 最关键的确定性来自两个地方
[10:32] 代码和现实
[10:34] 像一些确定性的活
[10:35] 比如格式校验、跑测试、去重、排序等等
[10:39] 就该交给普通代码
[10:41] 行业里有一句话
[10:42] 叫做让模型的判断力落在节点上
[10:44] 让代码的可靠性落在边上
[10:47] 如果一张图里
[10:48] 所有节点都在互相引用模型生成的结论
[10:50] 没有一个节点真的去碰一下现实
[10:53] 那它只是一台更精致的自嗨机器
[10:55] 真正的锚点
[10:56] 必须是这些无法狡辩的硬事实
[10:59] 比如测试真的跑过、用户真的留下了、钱真的到账了
[11:03] 至于更好到底指什么
[11:05] 这个必须由人来定
[11:06] 因为图里每个循环都预设了它
